year,stage,museums,visitors_million,tourism_spending_100m_yuan,museum_index,visitor_index,spending_index,visitors_per_museum_million,spending_per_visitor_yuan,spending_per_museum_100m_yuan
2014,增长期,3658,3611,30311.9,100.0,100.0,100.0,0.9872,839.4,8.3
2015,增长期,3852,4000,34195.1,105.3,110.8,112.8,1.0,854.9,8.9
2016,增长期,4109,4440,39390.0,112.3,123.0,129.9,1.1,887.2,9.6
2017,增长期,4721,5001,45660.9,129.1,138.5,150.6,1.1,913.0,9.7
2018,增长期,4918,5539,51278.3,134.4,153.4,169.2,1.1,925.8,10.4
2019,高点,5132,6006,57251.0,140.3,166.3,188.9,1.2,953.2,11.2
2020,冲击,5446,2879,22286.3,148.9,79.7,73.5,0.5286,774.1,4.1
2021,修复,5772,3246,29191.0,157.8,89.9,96.3,0.5624,899.3,5.1
2022,波动,6565,2530,20444.0,179.5,70.1,67.4,0.3854,808.1,3.1
2023,修复,6833,4891,49133.1,186.8,135.4,162.1,0.7158,1004.6,7.2
